Question,Choices,Answer,Explanation,Category
"Throwing bottles, cans or anything from your vehicle windows is:
",A. forbidden at all times B. forbidden only in the province C. forbidden only is the cities,"A. forbidden at all times
","It's illegal to throw garbage from your vehicle if it's not into a garbage bin. Our law has been lenient about this but it's not a reason that you should do it, and this is something that only civilized people would be able to understand and comply. If caught the fine is Php 500 or an 8-hour community service.",General Knowledge
When may you lend your driver's license?,A. Under no circumstance B. When another person needs to learn how to drive C. During emergencies,"A. Under no circumstance","A driver's license could be used only by the person who's picture and name is printed on it. Lending it to another could result into a fine or suspension or even revocation of your driver's license.",General Knowledge
"To obtain one’s driver’s license, one must be at least:
",A. 16 years old B. 17 years old C. 18 years old,"B. 17 years old
",The earliest age you can obtain a driver's license is at 17 years old. By this age you can apply for and get a Non-professional driver's license.,General Knowledge
One that affects your visibility while driving is?,A. Defective or dirty headlights B. Poor road lighting C. Foggy road,A. Defective or dirty headlights,"Of course all of the choices would affect your visibility while driving. However among the three choices, you only have control over your headlights, so be sure to check it and keep it clean before you drive.",General Knowledge
The correct apprenticeship period for an applicant of a professional driver's license is:,A. five months and above B. two months C. one month,"A. five months and above
","Your professional license apprenticeship period depends on the classification of license you're planning to acquire.",General Knowledge
"A person whose driver's license is under suspension may:
",A. operate a motor vehicle in a case of extreme emergency B. not operate a motor vehicle under any condition C. operate a motor vehicle when accompanied by a licensed driver,"B. not operate a motor vehicle under any condition
","If your driver's license got suspended you need to wait until the duration of suspension is over before you can regain your license back and start driving again.
",General Knowledge
"Which of the following can you adjust in order to reduce the chance of collision?
",A. Your speed and lane position B. The sharpness of a curve C. Another car's speed,"A. Your speed and lane position

","To reduce the risk of being involved in a car crash you must always observe the speed limits and correct road position.",General Knowledge
"Eating, drinking, reading, or doing anything that may take your attention from driving is:
",A. never allowed B. allowed if you have a professional driver's license C. allowed as long as you can handle it,"A. never allowed

","Defensive drivers maintain focus on the road, they keep their hands at the wheel at 10 o'clock and 2 o'clock position. They refrain from doing other tasks while driving. E.g. texting, eating, applying makeup.",General Knowledge
"A pre-trip inspection should be completed:
",A. before and after operating the motor vehicle B. after operating the motor vehicle C. before operating the motor vehicle,C. before operating the motor vehicle,"Doing a pre-trip inspection must be done before hitting the road. The most important reason to do it is for your safety. It can be very dangerous to go out on the road with damaged brakes, compromised wiring, or unsecured load. This especially applies to trucks and other heavy vehicles but should also be done for cars and even motorbikes.",General Knowledge
"To avoid suspension or revocation, how many days must a driver with an apprehended license settle his case with LTO?
",A. within 15 days B. within 10 days C. within 30 days,"A. within 15 days
","When apprehended for a traffic violation you'll need to settle it within 15 days, otherwise your driver's license shall be considered for suspension or revocation.
",General Knowledge
"What should you do to avoid air pollution especially from motor vehicles
",A. help enforce the law by having regular motor vehicle check-up and avoid overloading B. plant more trees C. use a car that's not more than 10 years old,"A. help enforce the law by having regular motor vehicle check-up and avoid overloading
","Having a regular vehicle maintenance helps a lot as it ensures your engine is running at optimal condition and this helps burn fuel more efficiently so it reduces polluted emissions. An annual emission test is also required as a prerequisite to vehicle registration.",General Knowledge
Having a license is:,A. an honor B. a right C. a privilege,C. a privilege,"Having a license is a privilege extended to those who can prove they can drive without endangering the public. Therefore, the government requires people to pass the LTO driving test which restricts those who get driver's licenses.",General Knowledge
To have one's driver's license suspended means to:,"A. have it revalidated by the LTO B. have it taken away permanently by the LTO C. have it taken temporarily by the LTO

","C. have it taken temporarily by the LTO
","Driver's license suspension would be a result of a traffic violation. In order to regain your license back you'll have to comply with the penalty and fines of the specific violation.",General Knowledge
"What habit will help you prevent getting a fixed-stare and resist distraction?
",A. Looking at the ground B. Moving your eyes regularly by looking near and far C. Gauging another car's speed,"B. Moving your eyes regularly by looking near and far
","You can easily avoid getting a fixed-stare if you constantly check your mirrors and turn your head (which you should always do when driving) when changing lanes or making a turn.",General Knowledge
According to the Philippine Clean Air Act of 1999 (R.A. No. 8749),A. all road users has the right to breathe clean air. B. every citizen must strive for their right to breathe clean air. C. every citizen has the right to breathe clean air.,"C. every citizen has the right to breathe clean air.
","Philippine Clean Air Act, is a comprehensive air quality management policy and program which aims to achieve and maintain healthy air for all Filipinos. Lifted from: Department of Environment and Natural Resources.",General Knowledge
"To avoid intersection collision, a driver must:
",A. know and practice the rules relating to the right of way and proper procedure in crossing an intersection B. blow his horn to signal that he's approaching C. always proceed with caution in an intersection,"A. know and practice the rules relating to the right of way and proper procedure in crossing an intersection

","It's crucial to know and understand when to go or yield in an intersection. As you go along this reviewer you'l encounter more questions regarding intersection and give-way rules to help you learn more about it.",General Knowledge
"What will happen when your front tire blows out?

",A. The back end will sway towards the side of the blowout B. The back end will sway away from the blowout C. The front end will pull towards the side of the blowout,C. The front end will pull towards the side of the blowout,"When the tire has a blowout it suddenly becomes much difficult for the wheel to rotate, and also it is a smaller radius so this makes the car pull into the direction of the blown out tire.
",Emergencies
"If you are the first to arrive at the scene of an accident, which of the following should you do:
",A. mind your own business B. offer all reasonable assistance C. move past the accident scene to avoid traffic build up,"B. offer all reasonable assistance
","If you are first to arrive at the scene, it's best to arppoach cautiously and park at a safe distance of least 100 feet away. Turn on your hazard lights, assess the situation, and install your Early Warning Device (EWD) when it is safe for you to do so. After you have done these things, you may now call 911 for help.",Emergencies
"What should you do when an ambulance comes up behind you flashing red lights and/or sounding its siren?
","A. Maintain your speed, let the ambulance driver will find a way around you B. Speed up so that you don't hold the ambulance C. Pull over to the right and slow down or even stop if necessary",C. Pull over to the right and slow down or even stop if necessary,"Do all you can to allow it to pass. Pulling to the right gives the ambulance more room and slowing down shortens its time of exposure to danger (i.e. the time it takes to overtake you).
",Emergencies
"The vehicle you are driving is stalled on a two-way (opposite direction) highway, you should place the Early Warning Device (EWD):


",A. 2 meters at the back and front of the stalled vehicle B. 3 meters at the back and front of the stalled vehicle C. 4 meters at the back and front of the stalled vehicle,"C. 4 meters at the back and front of the stalled vehicle
","The proper way of installing the Early Warning Device is to put it at 4 meters away from the back and front of the stalled vehicle. Doing so makes it easier and earlier for other road users to recognize the device so they can avoid you.",Emergencies
"When a vehicle is stalled or disabled, the driver must park the vehicle on the shoulder of the road and:
",A. switch on the parking light B. install the early warning device C. switch on the parking light and install the Early Warning Device to the front and rear of the motor vehicle,C. switch on the parking light and install the Early Warning Device to the front and rear of the motor vehicle,"This is why you must always carry an EWD (Early Warning Device), so you can warn other road users regarding your stalled or disabled vehicle — protecting yourself and other road users.",Emergencies
"When a vehicle starts to skid, what should the driver do?
",A. Immediately step on the brakes B. Hold firmly on to the wheel while slowing down the vehicle C. Turn the wheels tp the opposite the direction of the skid,"B. Hold firmly on to the wheel while slowing down the vehicle

","Never step hard on the brake during a skid. Instead, get your foot off the accelerator and brake pedals and steer gently in the direction you want the vehicle to go to.",Emergencies
"What will happen when your rear tire blows out?

",A. The back end will sway towards the side of the blowout B. The back end will sway away from the blowout C. The front end will pull towards the side of the blowout,"B. The back end will sway away from the blowout
","The back end is likely to swing out first with the same side as the blowout. Expect it to sway from side to side.
",Emergencies
"In case of injuries caused by an accident, the duty of the uninjured driver is to:

",A. call a physician B. keep the victim lying down C. try to determine who is at fault,"A. call a physician
","After a car crash the first thing that you must do is to check the condition of people involved in the accident, then call an ambulance or a physician if they need immediate medical attention.",Emergencies
"When you do not see the wheels of the vehicles in front of you, should you do?
",A. Slow down and get back to a safer following distance B. Turn your fog light on C. Increase your speed until it becomes visible,A. Slow down and get back to a safer following distance,"Having vision of the wheels of the vehicle you're following is a good indicator that you're not too close and has ample and safe stopping distance.",Handling and Driving
"When the vehicle you are driving runs off the road or hits an electric post or parked car, your most probable reason is:",A. you have a flat tire B. you are driving too fast and lost control of your vehicle C. another vehicle bumped you so you lose control,"B. you are driving too fast and lost control of your vehicle

","It is not against the law to drive fast, but be sure to follow road speed limits and make sure you don't endanger other road users including yourself.
",Handling and Driving
"On long drives, you should be awake and alert. If you are tired or very sleepy, you should:
",A. drink coffee B. park at the designated bay of the road and take a few minutes` nap C. drink energy drink,"B. park at the designated bay of the road and take a few minutes` nap

","Make it a habit to get some rest If you're tired or sleepy. There are designated bays for you to park and rest, and there are also several gas stations and fast food where you can park and sleep.",Handling and Driving
"Your speed while driving at night should keep on:
",A. the distance that you can see where you come to a complete stop within the distance that your headlights can light up. B. the speed since you have enough lighting anyways C. a slow speed to avoid road crash,"A. the distance that you can see where you come to a complete stop within the distance that your headlights can light up.

","During the night it's harder to recognize sudden stops and your reaction time would also be slower, so it's best to leave a bigger gap between you and the vehicle you're following.
",Handling and Driving
"When driving at night, you should:

",A. decrease your speed B. drink coffee so you won't fall asleep C. always turn your headlights on,C. always turn your headlights on,"Failure to turn your headlights on is against the law and would put you and other road users in danger.",Handling and Driving
"When driving downhill on a mountain road always:
",A. be always prepared to hit the brakes B. blow your horn every 1 minute C. shift to low gear so the engine braking action can help you control your speed,C. shift to low gear so the engine braking action can help you control your speed,"Shift to a lower gear before you start heading downhill, as this will help slow down the car without you having to ride the brakes. If your car uses an automatic transmission, use “L” or “2"" instead.
",Handling and Driving
"When driving on mountain roads during daytime, you should:

",A. blow your horn every 1 minute B. blow your horn when you think it's necessary C. blow your horn when approaching a blind curve,C. blow your horn when approaching a blind curve,"Do this as a precaution to warn possible incoming vehicles that you are also approaching. During the night you may also flash your headlights to warn them.
",Handling and Driving
"Some drivers are constantly sounding their horns, especially if they are in a hurry which is an offense. When is such a situation allowed?

",A. When it is done only a few times B. When it is done as a warning to avoid accident C. When you're in a hurry,"B. When it is done as a warning to avoid accident

","Yes, blowing your horn constantly is against the traffic rules. Use it properly.
",Handling and Driving
"The headlights should be used often as needed to:

",A. make your intentions known to drivers around you B. to signal to other drivers you have the right of way C. to let other drivers know you are approaching,"A. make your intentions known to drivers around you
","The use of headlights is crucial especially at night or whenever conditions mate it hard to see.
",Handling and Driving
"Whenever you are driving on a highway having a lot of potholes, you should:

",A. decrease your speed B. maintain your speed C. increase your speed,"A. decrease your speed","Driving fast through potholes will not only give you discomfort but can also damage your car so slow down and be alert. Also, try to avoid paddles and leave an extra space between you and the vehicle you are following.
",Handling and Driving
"When approaching a flooded area and you have to go through it, what should you do?

",A. Increase your speed so you get through immediately B. Maintain your speed as most have water insulation anyways C. Proceed at a very slow speed,"C. Proceed at a very slow speed

","If you're driving through water or flood do so at a snail-pace first, around 2-5 kph. Drive slow and steady. You don't want to disturb the water too much and risk water entering in the exhaust pipe.",Handling and Driving
"When planning to overtake a slower vehicle in front of you at night, you should:
","A. bow your horn so he gets alerted B. flick your dimmer, switch two or three times to signify your intention to the driver of the vehicle that you intend to overtake C. put hazard lights on so he knows you're about to overtake","B. flick your dimmer, switch two or three times to signify your intention to the driver of the vehicle that you intend to overtake

","Do this as a precaution to warn the vehicle that you are about to overtake him.
",Handling and Driving
"You are preparing to exit an expressway, when should you start reducing speed?

",A. immediately before entering the deceleration lane B. immediately upon entering the deceleration lane C. immediately upon spotting the deceleration lane,B. immediately upon entering the deceleration lane,"In an expressway you're driving at higher speed, that's why there are deceleration lane and signs to give you enough room and time to stop before your exit so begin to slow down as soon as you recognize them.",Handling and Driving
"When you intend to slow down or stop, you should:",A. step on your brakes lightly and turn on your hazard lights B. step on your brakes lightly to turn on your brake lights C. step on your brakes lightly and turn off your head lights,"B. step on your brakes lightly to turn on your brake lights

","Stepping on the brakes will also activate your tail lights. This acts as a warning to vehicles behind you, signalling to them that you stepped on the brakes.
",Handling and Driving
"While driving with maximum speed and you have to stop suddenly, you should:
",A. apply your brakes heavily with steady pressure B. apply your foot and hand brakes gently with steady pressure C. apply your brakes gently with steady pressure,"C. apply your brakes gently with steady pressure

","The faster a vehicle is going, the closer it is to loss of control especially when you hit the brakes hard. So it's better to brake gently with a steady pressure.
",Handling and Driving
"If a driver is driving too fast into a curve, he:

",A. should slam the brakes when the needed B. should not pull the handbrake C. should not slam the brakes,C. should not slam the brakes,"When approaching a curve be sure to not slam on the brakes but rather gently step on the brakes and try to stay in your lane when in a curve.",Handling and Driving
"In order to meet one’s social responsibilities of caring for others on the road, a good driver should:",A. always be mindful of other motorists  B. always exercise care for pedestrians and other road users around C. always exercise patience toward other road users,B. always exercise care for pedestrians and other road users around,"Driving can be a very stressful activity, but it can also be a tremendous opportunity for developing mindfulness, patience, and lovingkindness.
",Handling and Driving
"Driving in heavy rains can be extremely dangerous because visibility is limited. What should you do?

","A. When you cannot see more than 20 meters in front of you, turn on your hazard lights/headlights and look for a safe place to park B. Decrease your speed so you are safer C. Drive as fast as you can so you can get to safely as soon as possible","A. When you cannot see more than 20 meters in front of you, turn on your hazard lights/headlights and look for a safe place to park
",A good rule when driving in the rain and you cannot see more than 20 meters ahead of you is to turn on your hazard lights.,Handling and Driving
"To execute a safe turn, a motorcycle rider should always:",A. lean the motorcycle in the direction of the curve or turn B. be quick and alert in executing the turn C. lean the motorcycle in the other direction of the curve or turn,"A. lean the motorcycle in the direction of the curve or turn
","Exactly the same way as you lean a bicycle. Basically, a two wheeler turns by leaning toward the direction of the turn.",Handling and Driving
"If you carry a load it should be:
",A. either over or in front of the front axle B. either behind or in front of the rear axle C. either over or in front of the rear axle,C. either over or in front of the rear axle,"You can carry a load that extends 4m behind the rear axle and 3m in front of the front edge of the front seat.",Handling and Driving
"On the expressway, if a driver tries to drive slower that the traffic, he is a hazard to the cars:

",A. ahead B. in the expressway C. behind,C. behind,"The expressway is a fast road so be sure that you don't go below the minimum speed limit which is 60 kph. And if you are driving at 60 kph, keep your vehicle at the right lane to make room for faster vehicles.",Handling and Driving
"If you are backing up in a straight line, turn and look behind and over your shoulder at:",A. right B. left and right C. left,A. right,"When backing up, turn to your right so you can see through the back window. Turn your head and body to the right until you can see clearly through the back window. You can drape your right arm over the back of the seat to improve your balance as you do this.",Handling and Driving
"When negotiating a curve on a highway at a relatively high speed you should:

",A. maintain speed to avoid accidents from drivers behind you B. increase your speed so you won't violate minimum speed limits C. decrease your speed further as you enter the curve,C. decrease your speed further as you enter the curve,Reduce your speed before approaching a curve. Watch out for road signs warning of approaching curves so that you have enough time to slow down before steering through the curve.,Handling and Driving
"When a heavy fog occurs, you should:",A. park at a rest area or vehicle stop until the fog has lifted. B. drive slowly and turn on the headlights C. turn on your headlights and switch on the windshield wipers,A. park at a rest area or vehicle stop until the fog has lifted.,"There are cases where the fog is so heavy it's hard to see even with your high-beam lights on. In this type of situation the best thing to do is stop driving, park your vehicle at a safe place.",Handling and Driving
"Is shifting to neutral or coasting a good driving habit to save fuel when driving downhill?
",A. Yes B. No,B. No,"Shifting to neutral or coasting is actually very unsafe because you need your acccelerator to avoid unexpected hazards on the road. Disconnecting the engine from the drivetrain removes any engine braking. This means that your car will speed up without using your brakes, and relying solely on your brakes means you could get brake fade.",Handling and Driving
"The blind spot is the area to your right or left that you do not see in the side view mirror, what will you do before you back up?

",A. look at the rearview mirror B. get out of the vehicle and scout the area behind you first C. turn your head to see that the way is clear,C. turn your head to see that the way is clear,"When backing up, turn to your right so you can see through the back window. Turn your head and body to the right until you can see clearly through the back window. You can drape your right arm over the back of the seat to improve your balance as you do this.",Handling and Driving
What technique can be done with a manual car when trying to get started while driving on a steep uphill gradient to prevent your car from rolling backwards?,"A. headlight technique B. jumpstart technique C. handbrake technique


","C. handbrake technique
","When you need to start moving from a complete stop on a steep uphill, pull the handbrake and set your foot on the clutch pedal, start applying pressure to the gas pedal and slowly release the clutch as you slowly release the handbrake. Note: You must give it more gas than you would on a non-gradient road.",Handling and Driving
"Whenever you are driving, especially when overtaking:",A. never overtake another vehicle from a tailgating position B. never overtake another vehicle that has its hazard lights on C. never overtake another vehicle that is on the passing lane,"A. never overtake another vehicle from a tailgating position
","When a vehicle is tailgating another vehicle it's highly likely that he wants to overtake. This is why it is discourage to overtake this vehicle because doing so could result in an accident.",Handling and Driving
Road accidents can be avoided and minimized if the driver:,A. don’t disregard traffic signs installed in particular places B. drinks coffee before hitting the road C. drives slowly and carefully,"A. don’t disregard traffic signs installed in particular places
","Traffic lights are installed to regulate traffic from different directions. Never disregard it.",Handling and Driving
How close should another car be before you dim your headlights?,A. 150 meter B. 100 meter C. 200 meters,"A. 150 meter
","If you're driving with your headlights on, make sure to dim them when you're at least 150 meters (500 ft) from any oncoming vehicle so you don't blind the oncoming driver. If you're within 60 to 90 meters (200-300 ft) of the vehicle you are following you must use low-beam lights.",Handling and Driving
"What should you do when you are driving at night?
",A. Drive within visibility range of your headlight so you can stop in an emergency B. Drive quicker and always be prepared to step on the brakes C. Drive fast so you can get to your destination quickly,"A. Drive within visibility range of your headlight so you can stop in an emergency
","A good rule of thumb when you're using high-beam lights is to leave at least 150 meters (500 ft) from any oncoming vehicle so you don't blind the oncoming driver. If you're within 60 to 90 meters (200-300 ft) of the vehicle you are following you must use low-beam lights. This also gives you ample stopping distance.",Handling and Driving
"When driving on a highway, do not just stare at the vehicle in front of you, instead you should:",A. you should be polite and stop staring at the vehicle in front of you B. extend your scanning distance to about 12 seconds beyond the front of your vehicle C. also stare at the vehicles behind you to be safe,"B. extend your scanning distance to about 12 seconds beyond the front of your vehicle
","Anticipation is one of the keys to driving safely. It's always better to look ahead, and best to look way ahead of you when driving.",Handling and Driving
"If a driver passes a blind person, he:
",A. should not flash his head lights B. should not sound his horn C. should reduce his speed,B. should not sound his horn,"Never blow your horn on a blind person (or any person with disability). It could be hard for them to tell where the horn is coming from so you might disorient or startle a blind pedestrian rather than warning them. You must slow down or even stop for them.",Handling and Driving
"When you make an abrupt move especially when you are on a wet and possibly slippery road, the following action can cause you to skid and lose control:
",A. improper braking B. hand braking C. stepping on the foot brake,"A. improper braking

","When you are driving on wet surfaces you have less grip so the proper way to brake is to gently put pressure on your brakes.",Handling and Driving
"It is not considered safe driving on an expressway when:

",A. driver is driving at 80kph B. driver is driving at 60kph C. driver keep changing lanes without signaling,"C. driver keep changing lanes without signaling
","Always signal your intentions whether turning left or right, or changing lanes.
",Handling and Driving
"On a wet road, you must:
",A. maintain speed B. slow down C. increase speed,B. slow down,When the road is wet it is safest to drive at a moderate speed because there's less friction between your tires and the road.,Handling and Driving
Describes the thinking of a defensive driver:,A. always well rested and alert while driving B. considers driving safely and defensively at all times C. considers what other drivers might do and is preparing to do,C. considers what other drivers might do and is preparing to do,"Defensive driving is a set of driving skills that allows you to defend yourself against possible collisions caused by bad drivers, drunk drivers, and poor weather. If you look ahead and keep your eyes moving, you can spot potential hazards more easily.",Handling and Driving
"A driver must not park or stop at the side of the road with a “STOP SIGN” or a traffic control signal because it reduces visibility for other drivers, especially when it is within:


",A. 4 meters B. 5 meters C. 6 meters,C. 6 meters,When parking at any intersection or a stop sign be sure to have a distance of at least 6 meters between your car and the intersection stop line.,Parking
"Whenever you park, remember to:",A. shift the gear to neutral B. turn off the engine and engage the handbrake C. close the windows,B. turn off the engine and engage the handbrake,"If you're going to leave your car, it's best practice to turn off your engine and pull the handbrake.",Parking
"Whenever you leave the car unattended, the law says that you should stop the engine and:",A. notch the hand brake effectively B. shift the gear to neutral C. close the windows,"A. notch the hand brake effectively

","When parking, always pull your handbrake lever. Failure to do so and you could be fined by Php 1,000.",Parking
"What should you do when parking uphill and there is a curb?
",A. Turn wheels to curb B. Turn front wheels away from the curb C. Make your front wheels parallel curb,B. Turn front wheels away from the curb,"Always turn your wheels away from the sidewalk curb when parking uphill and parallel to the sidewalk. The wheel should gently touch the curb. The curb will help to stop the vehicle from rolling backwards especially in case your parking brakes fail.
",Parking
"When loading or unloading passengers, we usually stop at the:
",A. right side of the road nearest the sidewalk B. middle of the road C. intersection,A. right side of the road nearest the sidewalk,"Here in the Philippines, it has been the habit of motorists to load an unload passengers at the rightmost side of the road even though it's illegal a lot of times. It's best to load or unload on designated stops so you don't obstruct other road users behind you.
",Parking
"What is considered as a parking violation?
",A. parking in a one-way street B. parking without hazard lights on C. parking within 5 meters from a signalized intersection,C. parking within 5 meters from a signalized intersection,"When parking at any intersection be sure to have a distance of at least 6 meters between your car and the intersection stop line.",Parking
What should you do before leaving the parking space?,A. Just go B. Sound your horn C. Look around first,C. Look around first,"Before leaving a parking space make sure to look around to see if there are any approaching vehicles, or pedestrians or cyclists are overtaking you.
",Parking
Parking lights may be used:,A. at anytime B. for parking and when visibility is poor C. when driving on a well-lighted streets,B. for parking and when visibility is poor,"Parking lights should always be used when parking in a situation where it might be difficult for other road users to see you, and hazardous for them to not be able to see you.
",Parking
"Parking is considered as a violation when a motor vehicle:

",A. parks at the entrance and exit of hospital and fire stations B. parks at the entrance and exit of an industrial establishment C. parks at the entrance and exit of a residential establishment,"A. parks at the entrance and exit of hospital and fire stations
","It's illegal to part at the entrance of a hospital or fire station. It's actually not a good to park at entrances of any establishments.",Parking
"In which place can't you park your vehicle?
",A. In a given parking space B. In a place where pedestrians cross C. In a place where you want to go to,"B. In a place where pedestrians cross
","There are many places where you could park your vehicle, but a pedestrian lane is not one of them. Always keep pedestrian lanes open.",Parking
